panel,study,strand_number,strand,strand_key,sequencing_pattern,metric,method,method_raw,mean_score,sd_score,win_mean,win_sd,mean_r2,sd_r2
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspell(expcost=0.00),OMspell_expcost_0.00,0.24735273285684162,0.0037463418405157783,0.8093833333333333,0.00907315416141386,0.24735273285684162,0.0037463418405157783
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspellRS(expcost=0.00),OMspellRS_expcost_0.00,0.24735273285684162,0.0037463418405157783,0.8093833333333333,0.00907315416141386,0.24735273285684162,0.0037463418405157783
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspell(expcost=0.10),OMspell_expcost_0.10,0.2596543871263709,0.003181952600377083,0.9510833333333333,0.004307338031724496,0.2596543871263709,0.003181952600377083
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspellRS(expcost=0.10),OMspellRS_expcost_0.10,0.24818575389954717,0.003691728063366022,0.9510833333333333,0.004307338031724496,0.24818575389954717,0.003691728063366022
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspell(expcost=0.25),OMspell_expcost_0.25,0.26890976684361073,0.0031845292385432543,0.9510833333333333,0.004307338031724496,0.26890976684361073,0.0031845292385432543
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspellRS(expcost=0.25),OMspellRS_expcost_0.25,0.2493635393924614,0.0036178880515914153,0.9510833333333333,0.004307338031724496,0.2493635393924614,0.0036178880515914153
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspell(expcost=0.50),OMspell_expcost_0.50,0.275566692098094,0.0034904406129927542,0.9510833333333333,0.004307338031724496,0.275566692098094,0.0034904406129927542
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspellRS(expcost=0.50),OMspellRS_expcost_0.50,0.2511559708353946,0.00351366765392233,0.9510833333333333,0.004307338031724496,0.2511559708353946,0.00351366765392233
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspell(expcost=0.75),OMspell_expcost_0.75,0.27856317327794516,0.003718614088264876,0.9510833333333333,0.004307338031724496,0.27856317327794516,0.003718614088264876
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OMspellRS(expcost=0.75),OMspellRS_expcost_0.75,0.25276376946091017,0.003429270416488575,0.9510833333333333,0.004307338031724496,0.25276376946091017,0.003429270416488575
